"","Engagement","Absorption","Dedication","Vigor"
"219",5.70588235294118,5.66666666666667,6,5.5
"220",6.47058823529412,6.5,6.8,6.16666666666667
"221",3,4,2,3
"222",4.11764705882353,3.83333333333333,3.6,4.83333333333333
"223",5.17647058823529,5.5,4.8,5.16666666666667
"224",4.23529411764706,4,3.4,5.16666666666667
"225",6.11764705882353,6,6.2,6.16666666666667
"226",NA,NA,NA,NA
"227",4,3.83333333333333,4.4,3.83333333333333
"228",4.88235294117647,4.66666666666667,5.4,4.66666666666667
"229",NA,NA,NA,NA
"230",5.94117647058824,5.16666666666667,6.4,6.33333333333333
"231",3,2.16666666666667,4.4,2.66666666666667
"232",5.52941176470588,4.83333333333333,6,5.83333333333333
"233",4.17647058823529,5.83333333333333,2.6,3.83333333333333
"234",6.94117647058824,6.83333333333333,7,7
"235",5,4.5,5.4,5.16666666666667
"236",6.4,7,NA,6
"237",5.76470588235294,6.16666666666667,5.4,5.66666666666667
"238",4.64705882352941,4.5,5,4.5
"239",5.41176470588235,5.16666666666667,5.4,5.66666666666667
"240",5.86666666666667,5.33333333333333,6,6.4
"241",4.41176470588235,4,4.6,4.66666666666667
"242",3.52941176470588,2.83333333333333,2.8,4.83333333333333
"243",6.58823529411765,6.66666666666667,6.4,6.66666666666667
"244",6.88235294117647,6.66666666666667,7,7
"245",5,4.16666666666667,6.2,4.83333333333333
"246",4.41176470588235,3.16666666666667,5.2,5
"247",4.66666666666667,5,3.66666666666667,7
"248",3.58823529411765,3.33333333333333,4,3.5
"249",4.41176470588235,4.66666666666667,5,3.66666666666667
"250",5.70588235294118,4.5,6.2,6.5
"251",5.375,5,5.8,5.33333333333333
"252",4.58823529411765,4.66666666666667,4.8,4.33333333333333
"253",5.35294117647059,5.16666666666667,5.8,5.16666666666667
"254",4.82352941176471,4.16666666666667,5,5.33333333333333
"255",6.17647058823529,6.16666666666667,6.2,6.16666666666667
"256",5.17647058823529,4.5,5,6
"257",4.58823529411765,3.5,5.2,5.16666666666667
"258",6,5.83333333333333,6.2,6
"259",6.58823529411765,7,6.6,6.16666666666667
"260",5.47058823529412,4.83333333333333,6,5.66666666666667
"261",6.41176470588235,6.16666666666667,7,6.16666666666667
"262",5.58823529411765,4.83333333333333,6.2,5.83333333333333
"263",5.6875,6,5.25,5.66666666666667
"264",4.88235294117647,5,6.6,3.33333333333333
"265",5.76470588235294,5.83333333333333,6.2,5.33333333333333
"266",6.05882352941176,5.83333333333333,6.2,6.16666666666667
"267",3.35294117647059,3.16666666666667,4.8,2.33333333333333
"268",5.64705882352941,4.5,6.6,6
"269",NA,NA,NA,NA
"270",6.64705882352941,6.5,6.6,6.83333333333333
"271",4.41176470588235,4.33333333333333,4.6,4.33333333333333
"272",4.17647058823529,4.16666666666667,4,4.33333333333333
"273",3.42857142857143,3,4,3.6
"274",NA,NA,NA,NA
"275",6.29411764705882,6.66666666666667,6.8,5.5
"276",5.29411764705882,5.5,4.8,5.5
"277",5.35294117647059,6,5,5
"278",5.23529411764706,5.66666666666667,5,5
"279",3.5,3,NA,4
"280",6.88235294117647,6.66666666666667,7,7
"281",4,4,4,4
"282",4.35294117647059,3.33333333333333,5.8,4.16666666666667
"283",4,4,3,4.25
"284",6,6,6,6
"285",4.94117647058824,4.83333333333333,4.4,5.5
"286",4.94117647058824,5.5,4,5.16666666666667
"287",6.41176470588235,6.33333333333333,6.4,6.5
"288",4.05882352941176,4.33333333333333,4.6,3.33333333333333
"289",5.76470588235294,5.16666666666667,6.6,5.66666666666667
"290",6.58823529411765,5.83333333333333,7,7
"291",5.17647058823529,4.33333333333333,5.6,5.66666666666667
"292",5.58823529411765,5.5,5.6,5.66666666666667
"293",NA,NA,NA,NA
"294",5.5,4.33333333333333,6.4,6
"295",6.82352941176471,6.83333333333333,7,6.66666666666667
"296",5.82352941176471,4.66666666666667,7,6
"297",3.94117647058824,3.83333333333333,4,4
"298",4.05882352941176,4,4,4.16666666666667
"299",5.29411764705882,4.5,5.6,5.83333333333333
"300",5.58823529411765,6,5.2,5.5
"301",4,4.16666666666667,4.6,3.33333333333333
"302",4.41666666666667,4,4.66666666666667,4.75
"303",4.94117647058824,5.16666666666667,4.8,4.83333333333333
"304",6.41176470588235,6.33333333333333,6.8,6.16666666666667
"305",4.29411764705882,5.16666666666667,2.2,5.16666666666667
"306",4.82352941176471,5.5,5.4,3.66666666666667
"307",4.29411764705882,4.16666666666667,4.2,4.5
"308",6.23529411764706,5.33333333333333,7,6.5
"309",4.94117647058824,4.83333333333333,4.6,5.33333333333333
"310",4.94117647058824,4.33333333333333,5.2,5.33333333333333
"311",6.05882352941176,5.66666666666667,6.2,6.33333333333333
"312",3.4375,2.2,4.6,3.5
"313",4.35294117647059,4.33333333333333,4.2,4.5
"314",6,5.5,6.6,6
"315",4.41176470588235,4.33333333333333,3.6,5.16666666666667
"316",5,5.66666666666667,6,3.5
"317",3.82352941176471,3.83333333333333,3.2,4.33333333333333
"318",5.17647058823529,5,4.8,5.66666666666667
"319",5.82352941176471,5.5,6.8,5.33333333333333
"320",4.29411764705882,4,4.4,4.5
"321",2.9375,3.5,2.2,3
"322",4.94117647058824,4.83333333333333,5,5
"323",4.23529411764706,4.83333333333333,3,4.66666666666667
"324",3.11764705882353,2.83333333333333,2.4,4
"325",3.11764705882353,3.16666666666667,3,3.16666666666667
"326",5.64705882352941,4.83333333333333,6.6,5.66666666666667
"327",5.35294117647059,5.5,5.6,5
"328",3.70588235294118,3.83333333333333,3.8,3.5
"329",5.76470588235294,4.83333333333333,6.8,5.83333333333333
"330",5.05882352941176,4.33333333333333,5.2,5.66666666666667
"331",5.625,5.83333333333333,6,5
"332",4.88235294117647,4.5,6,4.33333333333333
"333",6.41176470588235,6,7,6.33333333333333
"334",4.29411764705882,4.5,4.4,4
"335",6.76470588235294,6.5,7,6.83333333333333
"336",6.11764705882353,6.33333333333333,6,6
"337",6.41176470588235,5.5,6.8,7
"338",6.23529411764706,5.83333333333333,6.6,6.33333333333333
"339",5.05882352941176,4.66666666666667,5.6,5
"340",4.52941176470588,4.83333333333333,4.4,4.33333333333333
"341",5.66666666666667,6.5,5,5.66666666666667
"342",5.88235294117647,4.83333333333333,6.6,6.33333333333333
"343",2.41176470588235,2.83333333333333,2.2,2.16666666666667
"344",6.41176470588235,6.16666666666667,7,6.16666666666667
"345",6.11764705882353,5.83333333333333,6.4,6.16666666666667
"346",6.47058823529412,6.33333333333333,6.8,6.33333333333333
"347",5.23529411764706,5.16666666666667,5.8,4.83333333333333
"348",4.76470588235294,4.16666666666667,4.8,5.33333333333333
"349",6.17647058823529,5.33333333333333,6.6,6.66666666666667
"350",4.82352941176471,4.16666666666667,4.4,5.83333333333333
"351",5.58823529411765,6,4.6,6
"352",6.76470588235294,6.5,7,6.83333333333333
"353",5.94117647058824,5,6.8,6.16666666666667
"354",5.35294117647059,4.83333333333333,4.6,6.5
"355",5.11764705882353,4.66666666666667,5.2,5.5
"356",6.35294117647059,5.83333333333333,7,6.33333333333333
